trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m1,v1,4,c2,-4,['right'],5799
2,1,w2,c2,-4,c1,4,['left'],925
2,2,m1,c1,-4,v2,4,['right'],1434
3,1,w1,c1,-4,c2,4,['left'],1649
3,2,w2,v1,4,v2,-4,['right'],1040
3,3,w2,c2,4,c1,-4,['left'],1512
4,1,w1,c1,4,c2,-4,['right'],1581
4,2,w2,c2,-4,c1,4,['left'],2639
5,1,m1,c1,4,v2,-4,['right'],1306
5,2,w2,v1,-4,c1,4,['left'],727
5,3,w1,v2,-4,c2,4,['left'],875
5,4,w2,c2,4,v2,-4,['right'],1025
5,5,w2,c2,4,v2,-4,['right'],874
5,6,m2,c2,-4,v1,4,['right'],1361
6,1,w1,c1,4,v1,-4,['right'],1528
6,2,m1,v1,4,c2,-4,['right'],1372
6,3,w2,v1,4,v2,-4,['right'],1039
6,4,w1,v2,-4,v1,4,['left'],1389
6,5,w2,v1,4,v2,-4,['left'],1001
7,1,w2,c2,-4,c1,4,['left'],1064
7,2,m1,c1,-4,c2,4,['left'],1238
7,3,w1,v2,4,c2,-4,['right'],1454
7,4,m1,v1,-4,v2,4,['right'],1613
8,1,w1,v2,-4,v1,4,['left'],2117
8,2,m1,c1,4,v2,-4,['left'],1154
9,1,m2,c2,4,c1,-4,['right'],1195
9,2,m2,c2,4,v1,-4,['right'],1660
9,3,w2,v1,4,v2,-4,['right'],947
9,4,w2,v1,4,v2,-4,['right'],1382
9,5,w2,c2,-4,v2,4,['left'],1344
9,6,w1,v2,4,c2,-4,['right'],1803
9,7,m2,v2,4,c1,-4,['right'],2013
9,8,m1,v1,-4,c2,4,['left'],2661
10,1,m2,v2,-4,c1,4,['left'],1719
10,2,w2,c2,4,c1,-4,['right'],1372
10,3,w2,v1,4,c1,-4,['right'],599
10,4,w2,v1,4,v2,-4,['right'],1176
10,5,w1,v2,-4,c2,4,['left'],1370
10,6,m2,c2,4,c1,-4,['right'],1378
10,7,w1,c1,-4,c2,4,['left'],1420
10,8,w1,c1,4,v1,-4,['right'],1509
10,9,m1,v1,-4,c2,4,['left'],1394
10,10,m1,v1,4,v2,-4,['right'],1403
10,11,m1,c1,-4,c2,4,['left'],1629
10,12,w2,c2,-4,v2,4,['left'],1477
10,13,m2,v2,-4,c1,4,['right'],1675
11,1,m1,v1,4,c2,-4,['right'],2255
11,2,w1,v2,4,v1,-4,['right'],983
11,3,m1,c1,4,v2,-4,['right'],1713
11,4,w2,v1,-4,c1,4,['left'],1605
11,5,m2,c2,-4,v1,4,['left'],1703
11,6,w1,c1,-4,v1,4,['left'],1284
11,7,m2,v2,4,c1,-4,['left'],2482
12,1,m1,c1,4,v2,-4,['right'],1785
12,2,w2,v1,4,v2,-4,['right'],931
12,3,m2,c2,-4,c1,4,['left'],1111
12,4,w1,v2,4,v1,-4,['right'],1139
12,5,m1,c1,-4,v2,4,['left'],1447
12,6,w2,v1,-4,v2,4,['left'],823
12,7,w1,c1,4,c2,-4,['right'],1207
12,8,w2,c2,-4,v2,4,['left'],1280
12,9,w1,v2,4,c2,-4,['right'],1006
12,10,m1,v1,4,c2,-4,['right'],1565
12,11,m2,c2,-4,c1,4,['left'],903
12,12,m1,v1,-4,c2,4,['left'],1605
12,13,w1,c1,4,v1,-4,['right'],1270
12,14,m2,v2,-4,c1,4,['left'],1090
12,15,w2,c2,-4,c1,4,['left'],1264
12,16,m2,v2,4,c1,-4,['right'],1246
