trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m1,c1,-4,c2,4,['left'],4090
2,1,m2,c2,4,c1,-4,['right'],2697
3,1,w1,c1,4,c2,-4,['left'],1432
4,1,w2,v1,4,c1,-4,['right'],841
4,2,m2,c2,-4,v1,4,None,8000
5,1,w2,v1,-4,c1,4,['left'],896
5,2,m1,v1,4,v2,-4,['right'],1261
5,3,m1,c1,4,v2,-4,['right'],1175
5,4,w2,c2,4,v2,-4,['right'],1585
5,5,w2,c2,-4,c1,4,['left'],819
5,6,w1,v2,4,c2,-4,['right'],803
5,7,m1,v1,-4,v2,4,['left'],812
5,8,w1,c1,4,v1,-4,['right'],845
5,9,m2,v2,-4,c1,4,['left'],2100
5,10,m2,c2,-4,v1,4,['left'],1377
5,11,m2,c2,4,c1,-4,['right'],810
5,12,w1,v2,-4,v1,4,['right'],794
6,1,w2,c2,-4,c1,4,['left'],1093
6,2,m1,v1,4,c2,-4,['right'],1962
6,3,m1,c1,-4,v2,4,['left'],2005
6,4,m2,v2,4,c1,-4,['right'],839
6,5,m1,c1,-4,c2,4,['left'],1751
6,6,w1,c1,4,c2,-4,['right'],1314
6,7,m2,c2,-4,v1,4,['right'],1503
7,1,m1,v1,-4,c2,4,['left'],1027
7,2,w2,c2,-4,v2,4,['right'],1235
8,1,m2,v2,-4,v1,4,['left'],1454
8,2,m1,v1,4,c2,-4,['right'],1021
8,3,w2,v1,4,c1,-4,['right'],1318
8,4,m1,c1,4,v2,-4,['right'],1826
8,5,w1,c1,-4,c2,4,['right'],1187
9,1,m1,c1,-4,v2,4,['left'],1352
9,2,w1,c1,-4,v1,4,['left'],1683
9,3,m1,c1,4,c2,-4,['right'],1481
9,4,w2,c2,-4,v2,4,['left'],1335
9,5,m2,c2,-4,c1,4,['left'],1643
9,6,w1,v2,4,v1,-4,['right'],1107
9,7,w1,v2,-4,c2,4,['left'],925
9,8,m1,v1,-4,c2,4,['left'],1594
9,9,w2,v1,4,v2,-4,['right'],1243
9,10,w2,c2,-4,c1,4,['left'],706
9,11,m2,v2,4,c1,-4,['right'],1415
9,12,m2,c2,4,v1,-4,['right'],1128
9,13,w2,v1,4,v2,-4,['right'],1044
9,14,m1,v1,4,v2,-4,['right'],963
9,15,m2,v2,-4,c1,4,['left'],1566
9,16,w1,c1,-4,c2,4,['right'],1560
