trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m1,v1,4,v2,-4,['right'],2633
2,1,w1,v2,4,c2,-4,['right'],887
2,2,w1,c1,4,c2,-4,['right'],1573
2,3,m2,c2,4,c1,-4,['right'],1400
2,4,w2,c2,4,c1,-4,['right'],1272
2,5,w1,v2,4,c2,-4,['right'],1375
2,6,m2,v2,-4,c1,4,['left'],1554
2,7,m1,v1,4,c2,-4,['right'],909
2,8,m2,v2,-4,v1,4,['left'],1538
2,9,m1,v1,-4,c2,4,['left'],998
2,10,w2,v1,4,v2,-4,['left'],1175
3,1,m1,c1,-4,v2,4,['right'],884
4,1,m1,c1,-4,c2,4,['left'],729
4,2,w1,v2,4,v1,-4,['right'],1205
4,3,w2,c2,4,c1,-4,['right'],1246
4,4,m2,c2,4,c1,-4,['right'],1181
4,5,m2,v2,4,c1,-4,['right'],1055
4,6,w2,c2,-4,c1,4,['left'],1134
4,7,w1,c1,-4,c2,4,['left'],938
4,8,w1,v2,4,v1,-4,['right'],1390
4,9,w1,c1,-4,v1,4,['left'],992
4,10,m1,v1,4,c2,-4,['left'],1042
5,1,w2,c2,-4,v2,4,['right'],1673
6,1,m1,v1,4,v2,-4,['right'],846
6,2,m2,c2,4,c1,-4,['right'],909
6,3,w2,v1,-4,c1,4,['left'],858
6,4,w1,v2,4,v1,-4,['right'],977
6,5,w2,c2,4,v2,-4,['right'],867
6,6,m2,v2,4,c1,-4,['left'],1161
7,1,m2,c2,4,v1,-4,['right'],1242
7,2,w1,c1,-4,c2,4,['left'],1146
7,3,m1,v1,-4,v2,4,['left'],909
7,4,m2,v2,4,v1,-4,['right'],759
7,5,w2,v1,-4,c1,4,['left'],1170
7,6,w1,v2,4,v1,-4,['right'],901
7,7,w2,c2,4,v2,-4,['right'],818
7,8,w2,v1,4,c1,-4,['left'],1195
8,1,m2,v2,4,v1,-4,['right'],1243
8,2,w2,v1,4,c1,-4,['left'],1298
9,1,m2,c2,-4,v1,4,['left'],1466
9,2,m2,c2,4,c1,-4,['right'],817
9,3,m1,v1,-4,c2,4,['left'],1017
9,4,m2,v2,4,v1,-4,['right'],1434
9,5,w1,v2,-4,v1,4,['right'],1506
10,1,m2,v2,-4,c1,4,['left'],1608
10,2,w2,c2,-4,c1,4,['left'],1041
10,3,m2,v2,-4,c1,4,['right'],1217
11,1,w1,v2,-4,v1,4,['left'],1445
11,2,w2,c2,4,c1,-4,['left'],1220
12,1,w1,c1,-4,v1,4,['right'],1400
13,1,m2,v2,-4,v1,4,['left'],1164
13,2,w2,c2,4,c1,-4,['right'],950
13,3,m2,c2,4,c1,-4,['right'],929
13,4,w1,v2,4,c2,-4,['right'],1077
13,5,m2,c2,4,c1,-4,['right'],1331
13,6,w1,v2,-4,c2,4,['left'],1352
13,7,w2,v1,-4,v2,4,['right'],1392
14,1,m1,v1,4,v2,-4,['right'],1240
14,2,m2,c2,-4,v1,4,['left'],1000
14,3,w1,c1,-4,v1,4,['left'],1665
14,4,w2,v1,4,v2,-4,['right'],1312
14,5,w1,c1,-4,v1,4,['left'],1444
14,6,m1,c1,4,c2,-4,['right'],1331
14,7,m2,v2,-4,v1,4,['left'],1391
14,8,m2,c2,4,v1,-4,['right'],1113
14,9,w2,c2,-4,v2,4,['left'],1438
14,10,w2,v1,-4,v2,4,['left'],1038
14,11,m2,v2,-4,c1,4,['left'],1054
14,12,m1,v1,4,c2,-4,['right'],1269
14,13,m1,c1,-4,v2,4,['left'],876
14,14,w1,v2,4,c2,-4,['right'],1402
14,15,w2,c2,-4,c1,4,['left'],1115
14,16,w1,v2,-4,c2,4,['left'],1256
