trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w2,v1,4,v2,-4,['right'],3216
2,1,w2,v1,-4,c1,4,['left'],1295
2,2,m1,v1,-4,c2,4,['right'],2147
3,1,m2,v2,4,c1,-4,['right'],3888
4,1,m2,v2,-4,v1,4,['left'],1370
4,2,w2,v1,4,v2,-4,['right'],1436
4,3,w1,c1,4,v1,-4,['right'],5253
5,1,m1,c1,-4,v2,4,['left'],2848
6,1,w1,v2,-4,c2,4,['left'],3131
7,1,w1,v2,4,c2,-4,['right'],876
7,2,w2,c2,-4,v2,4,['left'],1522
7,3,m2,c2,-4,v1,4,['left'],903
7,4,m1,c1,4,c2,-4,['right'],844
7,5,m2,v2,4,c1,-4,['right'],1011
7,6,w1,c1,4,v1,-4,['right'],1100
7,7,w2,v1,-4,c1,4,['left'],729
7,8,m2,v2,-4,v1,4,['left'],1429
7,9,w2,c2,4,c1,-4,['left'],1149
8,1,m1,c1,4,v2,-4,['right'],1206
8,2,m2,c2,-4,v1,4,['left'],831
8,3,w2,c2,-4,v2,4,['right'],1343
9,1,m1,c1,4,v2,-4,['right'],1095
9,2,w2,v1,-4,v2,4,['left'],852
9,3,w1,v2,4,c2,-4,['left'],1539
10,1,m2,v2,4,c1,-4,['right'],1482
10,2,m2,v2,4,c1,-4,['right'],896
10,3,m1,c1,-4,c2,4,['left'],1293
10,4,w1,c1,4,v1,-4,['right'],1211
10,5,w1,v2,4,v1,-4,['right'],1283
10,6,m2,c2,-4,v1,4,['left'],849
10,7,w1,c1,-4,c2,4,['left'],1656
10,8,m1,v1,-4,v2,4,['left'],1120
10,9,w2,v1,4,c1,-4,['right'],1028
10,10,w2,c2,4,c1,-4,['right'],908
10,11,w2,c2,4,v2,-4,['right'],833
10,12,w1,v2,-4,c2,4,['left'],1001
10,13,m2,c2,4,v1,-4,['right'],850
10,14,w2,v1,-4,v2,4,['left'],753
10,15,m1,c1,4,c2,-4,['right'],1180
10,16,m1,v1,4,v2,-4,['right'],838
